segment_dur_uttr,c_type_f,speakerSegtype,languageSegtype,segment_type_o,language,language_f,speaker_f,dur,ul,ll,model
0.059064926406926274,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.06051935627165793,0.06232829985101009,0.058710412692305765,cv_mod_baseline
0.06015691738816725,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.06158488213158138,0.06337174088969232,0.05979802337347044,cv_mod_baseline
0.06124890836940823,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.06265262203027544,0.06442194419706129,0.06088329986348959,cv_mod_baseline
0.06234089935064921,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.06371955132330796,0.065475001192942,0.061964101453673925,cv_mod_baseline
0.0634328903318902,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.06478264559870543,0.06652652957142242,0.06303876162598844,cv_mod_baseline
0.06452488131313117,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.06583892327148097,0.06757214512772634,0.0641057014152356,cv_mod_baseline
0.06561687229437216,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.06688557045134765,0.06860804409998046,0.06516309680271483,cv_mod_baseline
0.06670886327561312,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.06792007476305885,0.0696314239971028,0.0662087255290149,cv_mod_baseline
0.06780085425685412,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.06894034556721171,0.07064061977258161,0.0672400713618418,cv_mod_baseline
0.06889284523809508,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.06994481345255303,0.07163495757083219,0.06825466933427388,cv_mod_baseline
0.06998483621933607,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.07093249059556084,0.07261440152621418,0.0692505796649075,cv_mod_baseline
0.07107682720057704,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.07190304978018944,0.0735792342507588,0.07022686530962008,cv_mod_baseline
0.07216881818181803,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.0728568033368163,0.07452977213950611,0.07118383453412648,cv_mod_baseline
0.07326080916305899,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.0737947369847635,0.07546645177833275,0.07212302219119426,cv_mod_baseline
0.07435280014429999,stop,mn_tw_11.consonant,Taiwan Mandarin.consonant,consonant,Taiwan Mandarin,Taiwan Mandarin,mn_tw_11,0.07471841432011343,0.07638990671656125,0.07304692192366562,cv_mod_baseline
