lang,phone,phone_ipa,c_type
Svan,l,l,liquid
Svan,g,ɡ,stop
Svan,k_>,kʼ,stop
Svan,w,w,approximant
Svan,@,ə,non-high monophthong
Svan,t_>,tʼ,stop
Svan,m,m,nasal
Svan,Z,ʒ,fricative
Svan,d,d,stop
Svan,i:,iː,high monophthong
Svan,a:,aː,non-high monophthong
Svan,p_h,pʰ,stop
Svan,e:,eː,non-high monophthong
Svan,r,r,liquid
Svan,{:,æː,non-high monophthong
Svan,{,æ,non-high monophthong
Svan,X,χ,fricative
Svan,i,i,high monophthong
Svan,o,o,non-high monophthong
Svan,h,h,fricative
Svan,dZ,dʒ,affricate
Svan,t_h,tʰ,stop
Svan,e,e,non-high monophthong
Svan,s,s,fricative
Svan,ts_>,tsʼ,affricate
Svan,ts,ts,affricate
Svan,u,u,high monophthong
Svan,p_>,pʼ,stop
Svan,z,z,fricative
Mojeno_Trinitario,k,k,stop
Mojeno_Trinitario,?,ʔ,stop
Mojeno_Trinitario,j,j,approximant
Mojeno_Trinitario,@e,əe,diphthong
Mojeno_Trinitario,u:,uː,high monophthong
Mojeno_Trinitario,a,a,non-high monophthong
Mojeno_Trinitario,tS,tʃ,affricate
Mojeno_Trinitario,t,t,stop
Mojeno_Trinitario,o:,oː,non-high monophthong
Mojeno_Trinitario,n,n,nasal
Mojeno_Trinitario,l,l,liquid
Mojeno_Trinitario,c,c,stop
Mojeno_Trinitario,w,w,approximant
Mojeno_Trinitario,m,m,nasal
Mojeno_Trinitario,J,ɲ,nasal
Mojeno_Trinitario,f,f,fricative
Mojeno_Trinitario,C,ç,fricative
Mojeno_Trinitario,i:,iː,high monophthong
Mojeno_Trinitario,d,d,stop
Mojeno_Trinitario,a:,aː,non-high monophthong
Mojeno_Trinitario,e:,eː,non-high monophthong
Mojeno_Trinitario,r,r,liquid
Mojeno_Trinitario,i,i,high monophthong
Mojeno_Trinitario,@:e,əːe,diphthong
Mojeno_Trinitario,o,o,non-high monophthong
Mojeno_Trinitario,h,h,fricative
Mojeno_Trinitario,B,β,fricative
Mojeno_Trinitario,e,e,non-high monophthong
Mojeno_Trinitario,s,s,fricative
Mojeno_Trinitario,ts,ts,affricate
Mojeno_Trinitario,u,u,high monophthong
Mojeno_Trinitario,p,p,stop
Urum,5,ɫ,liquid
Urum,9,œ,non-high monophthong
Urum,k,k,stop
Urum,x,x,fricative
Urum,b,b,stop
Urum,j,j,approximant
Urum,a,a,non-high monophthong
Urum,tS,tʃ,affricate
Urum,t,t,stop
Urum,m:,mː,nasal
Urum,s:,sː,fricative
Urum,S,ʃ,fricative
Urum,n,n,nasal
Urum,d:,dː,stop
Urum,l,l,liquid
Urum,g,ɡ,stop
Urum,G,ɣ,fricative
Urum,c,c,stop
Urum,m,m,nasal
Urum,f,f,fricative
Urum,J\,ɟ,stop
Urum,Z,ʒ,fricative
Urum,d,d,stop
Urum,v,v,fricative
Urum,l:,lː,liquid
Urum,y,y,high monophthong
Urum,{,æ,non-high monophthong
Urum,t:,tː,stop
Urum,i,i,high monophthong
Urum,o,o,non-high monophthong
Urum,dZ,dʒ,affricate
Urum,M,ɯ,high monophthong
Urum,r\_r,ɹ̝,approximant
Urum,e,e,non-high monophthong
Urum,s,s,fricative
Urum,u,u,high monophthong
Urum,p,p,stop
Urum,4,ɾ,liquid
Urum,z,z,fricative
Veraa,E,ɛ,non-high monophthong
Veraa,k,k,stop
Veraa,Nm,ŋm,nasal
Veraa,?,ʔ,stop
Veraa,O,ɔ,non-high monophthong
Veraa,b,b,stop
Veraa,e_r,e̝,non-high monophthong
Veraa,a,a,non-high monophthong
Veraa,t,t,stop
Veraa,n,n,nasal
Veraa,l,l,liquid
Veraa,G,ɣ,fricative
Veraa,w,w,approximant
Veraa,kp,kp,stop
Veraa,o_r,o̝,non-high monophthong
Veraa,m,m,nasal
Veraa,v,v,fricative
Veraa,d,d,stop
Veraa,r,r,liquid
Veraa,i,i,high monophthong
Veraa,N,ŋ,nasal
Veraa,s,s,fricative
Veraa,u,u,high monophthong
Yongning_Na,k,k,stop
Yongning_Na,b,b,stop
Yongning_Na,j,j,approximant
Yongning_Na,v=~,ṽ̩,syllabic C
Yongning_Na,ts`,ʈʂ,affricate
Yongning_Na,q_h,qʰ,stop
Yongning_Na,k_h,kʰ,stop
Yongning_Na,R,ʁ,liquid
Yongning_Na,dz,dz,affricate
Yongning_Na,t,t,stop
Yongning_Na,o~,õ,non-high monophthong
Yongning_Na,w~,w̃,approximant
Yongning_Na,s`,ʂ,fricative
Yongning_Na,l`,ɭ,liquid
Yongning_Na,v=,v̩,syllabic C
Yongning_Na,t`,ʈ,stop
Yongning_Na,n,n,nasal
Yongning_Na,ts_h,tsʰ,affricate
Yongning_Na,l,l,liquid
Yongning_Na,g,ɡ,stop
Yongning_Na,ts`_h,ʈʂʰ,affricate
Yongning_Na,G,ɣ,fricative
Yongning_Na,w,w,approximant
Yongning_Na,q,q,stop
Yongning_Na,@,ə,non-high monophthong
Yongning_Na,i~,ĩ,high monophthong
Yongning_Na,{~,æ̃,non-high monophthong
Yongning_Na,dz`,dʐ,affricate
Yongning_Na,A~,ɑ̃,non-high monophthong
Yongning_Na,m,m,nasal
Yongning_Na,J,ɲ,nasal
Yongning_Na,j\,ʝ,fricative
Yongning_Na,f,f,fricative
Yongning_Na,r\=`,ɹ̩,syllabic C
Yongning_Na,d,d,stop
Yongning_Na,p_h,pʰ,stop
Yongning_Na,z\,ʑ,fricative
Yongning_Na,{,æ,non-high monophthong
Yongning_Na,d`,ɖ,stop
Yongning_Na,i,i,high monophthong
Yongning_Na,K,ɬ,fricative
Yongning_Na,o,o,non-high monophthong
Yongning_Na,7,ɤ,non-high monophthong
Yongning_Na,h,h,fricative
Yongning_Na,M,ɯ,high monophthong
Yongning_Na,t_h,tʰ,stop
Yongning_Na,z`,ʐ,fricative
Yongning_Na,e,e,non-high monophthong
Yongning_Na,s,s,fricative
Yongning_Na,ts\,tɕ,affricate
Yongning_Na,N,ŋ,nasal
Yongning_Na,ts,ts,affricate
Yongning_Na,r\`,ɻ,approximant
Yongning_Na,t`_h,ʈʰ,stop
Yongning_Na,ts\_h,tɕʰ,affricate
Yongning_Na,s\,ɕ,fricative
Yongning_Na,dz\,dʑ,affricate
Yongning_Na,p,p,stop
Yongning_Na,A,ɑ,non-high monophthong
Yongning_Na,z,z,fricative
