language,phone_dur_uttr,model,derivative_c,derivative_v,eff_size,phone_dur_v,phone_dur_c
Kamas,0.11083333333333864,cv_mod_baseline,0.7098427015685971,1.3246710466994216,0.6148283451308245,0.1151579920290208,0.10727511573017777
Mojeno_Trinitario,0.0928888888888894,cv_mod_baseline,0.7474161836960036,1.2512007194942498,0.5037845357982462,0.0958402962132456,0.09030908919640093
Urum,0.0753921568627451,cv_mod_baseline,0.7510002774115954,1.2402300102345443,0.4892297328229489,0.08426872082804955,0.06852334560622693
Yongning_Na,0.08989743589743518,cv_mod_baseline,0.7802928187889968,1.2322168964358227,0.45192407764682585,0.09693830768423638,0.08635228478956217
Ruuli,0.0696545454545437,cv_mod_baseline,0.7606656873218043,1.1945911996815717,0.4339255123597674,0.07909315868862275,0.06063998766396156
Movima,0.07758620689654977,cv_mod_baseline,0.8336246880622511,1.2080726217091886,0.3744479336469375,0.08019759563597885,0.07563383543254545
Beja,0.07982608695652167,cv_mod_baseline,0.7787169580457665,1.1445805021796929,0.3658635441339264,0.09582155178583182,0.06756011518411288
Resigaro,0.09364285714285696,cv_mod_baseline,0.8318178456239167,1.1844507818135064,0.3526329361895897,0.09235939230284428,0.09504839852637104
Evenki,0.081155172413793,cv_mod_baseline,0.8533846756386687,1.1912076237190483,0.3378229480803796,0.07994692246096406,0.08218350050201953
Gurindji,0.0702000000000074,cv_mod_baseline,0.8318256128698742,1.144096120048843,0.31227050717896887,0.08189504900023487,0.0603766909075649
Yali,0.05786206896551715,cv_mod_baseline,0.8324741333454178,1.1410239848808068,0.30854985153538905,0.06272032204518553,0.05363648837310116
Dalabon,0.06889473684210363,cv_mod_baseline,0.8565341802788673,1.159896199969701,0.30336201969083376,0.0776996776872211,0.06354360546523079
Lower_Sorbian,0.09714705882353045,cv_mod_baseline,0.8514905094716418,1.1468161891596829,0.295325679688041,0.10755064661945639,0.08943726425429568
Dolgan,0.07919444444444441,cv_mod_baseline,0.8674067952467723,1.1560670548331764,0.28866025958640407,0.08019619930000724,0.07835353817697804
Sadu,0.09033333333333313,cv_mod_baseline,0.8430586020002906,1.1236764527438048,0.2806178507435142,0.10067526909696832,0.0800076808204563
English,0.0808645833333325,cv_mod_baseline,0.8449006363480116,1.113482981605518,0.26858234525750646,0.10265922324786529,0.06595896037585486
Fanbyak,0.0784722222222223,cv_mod_baseline,0.8683876841675264,1.1307218316107814,0.262334147443255,0.08530457190494299,0.07279537590977049
Jejuan,0.07049152542372868,cv_mod_baseline,0.8772967658110531,1.1320080645531583,0.2547112987421052,0.07351850868215437,0.06781942574270311
Nuu,0.0890909090909088,cv_mod_baseline,0.878476106057402,1.1220671459688525,0.24359103991145048,0.09377700819724932,0.08420323547800111
Arapaho,0.08819999999999709,cv_mod_baseline,0.8641726580695952,1.1014163841429614,0.2372437260733662,0.10711037983612395,0.07379543882121421
Gubeeher,0.06458333333333262,cv_mod_baseline,0.8965445746724754,1.0974197359736593,0.20087516130118388,0.06917173634747907,0.0605568792191934
Svan,0.07960784313725494,cv_mod_baseline,0.8953103620759073,1.0925631129912183,0.19725275091531103,0.09293909716795162,0.07031082758712806
Bora,0.08342857142856917,cv_mod_baseline,0.9083915065781767,1.102423910413819,0.19403240383564224,0.08244754568793236,0.08465033142927814
Sanzhi_Dargwa,0.08172131147540972,cv_mod_baseline,0.9356521043986099,1.0901861120200529,0.15453400762144298,0.08151475427221365,0.08167476691992516
Veraa,0.06339999999999986,cv_mod_baseline,0.9764502803517594,1.0163247480501347,0.03987446769837533,0.0685427513073107,0.059608997436280876
Kamas,0.11083333333333864,cv_mod_type,0.6943746831162834,1.3060482617814895,0.6116735786652061,0.14099487351886325,0.10766417665662975
Mojeno_Trinitario,0.0928888888888894,cv_mod_type,0.677153259224017,1.1929429833794636,0.5157897241554465,0.11846999587070307,0.09035364474338771
Yongning_Na,0.08989743589743518,cv_mod_type,0.7511504115473855,1.1646557883135955,0.41350537676621,0.11863175346498567,0.08237658089712663
Yali,0.05786206896551715,cv_mod_type,0.7646312306053282,1.1268776926547375,0.36224646204940925,0.07915226677211533,0.052820535424644224
Urum,0.0753921568627451,cv_mod_type,0.80803194263801,1.1576869486535912,0.3496550060155812,0.10490367040905468,0.06885361141983785
Ruuli,0.0696545454545437,cv_mod_type,0.7623886192908991,1.1002970339237805,0.33790841463288146,0.09127778170841835,0.05867783553246636
Gurindji,0.0702000000000074,cv_mod_type,0.8137735301074756,1.0986915842465805,0.284918054139105,0.10051050961022241,0.058002733038166054
English,0.0808645833333325,cv_mod_type,0.8496853019228645,1.1274501582287932,0.27776485630592873,0.12098808775921051,0.06357611587053719
Dalabon,0.06889473684210363,cv_mod_type,0.8614867245824165,1.1234416613912224,0.2619549368088059,0.09681140839844823,0.06300511298246404
Resigaro,0.09364285714285696,cv_mod_type,0.7781923161265247,1.0135181034964802,0.23532578736995546,0.10797812384571619,0.09425810478365897
Lower_Sorbian,0.09714705882353045,cv_mod_type,0.8976103763695953,1.1161670222357145,0.21855664586611923,0.13391878413136063,0.08691609932264428
Movima,0.07758620689654977,cv_mod_type,0.8457550492417809,1.0204321797355753,0.1746771304937944,0.09836412851942078,0.0769259087964678
Jejuan,0.07049152542372868,cv_mod_type,0.895395362773499,1.06683372928007,0.17143836650657107,0.09333513567667563,0.06535024820357199
Beja,0.07982608695652167,cv_mod_type,0.7573538672778213,0.9205954824786922,0.16324161520087088,0.0966499005195064,0.0681244658144061
Sadu,0.09033333333333313,cv_mod_type,0.9170658123038855,1.0783932604230273,0.1613274481191418,0.12455209877224176,0.07360787508519376
Evenki,0.081155172413793,cv_mod_type,0.8562980577289103,1.0138763924563143,0.157578334727404,0.09518999611896259,0.08108912843834858
Dolgan,0.07919444444444441,cv_mod_type,0.8685111391901756,1.0194987131426636,0.15098757395248796,0.09573894828445992,0.07856555174651611
Nuu,0.0890909090909088,cv_mod_type,0.9428449885224843,1.0726683682151794,0.12982337969269508,0.1178245760171342,0.0791486489370389
Fanbyak,0.0784722222222223,cv_mod_type,0.8697632156127177,0.9983014636265608,0.12853824801384306,0.10556865205711338,0.07127099152168909
Gubeeher,0.06458333333333262,cv_mod_type,0.8768035711681499,0.9988977342731964,0.1220941631050465,0.08371494202349827,0.05879422744190989
Svan,0.07960784313725494,cv_mod_type,0.9291747210173895,1.020509993922225,0.09133527290483556,0.11085765649169359,0.06754195524385653
Veraa,0.06339999999999986,cv_mod_type,0.9310604566548086,1.01905538574254,0.08799492908773132,0.08682923381399377,0.05873954759964236
Arapaho,0.08819999999999709,cv_mod_type,0.8250617044582853,0.9013333115732713,0.07627160711498604,0.11028383567481727,0.07583644663551677
Sanzhi_Dargwa,0.08172131147540972,cv_mod_type,0.9232153674938459,0.9907453834867574,0.06753001599291153,0.10291892090206795,0.08067805978870314
Bora,0.08342857142856917,cv_mod_type,0.9108159782345027,0.8839944933405341,-0.026821484893968517,0.09726162337735599,0.08435727133015208
