vowel_length_contrast,language,phone_dur_uttr,model,syll_pos,derivative_cs,derivative_cl,eff_size,phone_dur_cs,phone_dur_cl,derivative_nc,phone_dur_nc
unrestricted,Gubeeher,0.06458333333333262,vln_mod_mono_baseline,nonfinal,0.9822539643975503,1.2329114949856113,0.25065753058806095,0.06550908466670202,0.10106545153184607,NA,NA
unrestricted,Gubeeher,0.06458333333333262,vln_mod_mono_baseline,final,0.9822539643975503,1.2329114949856113,0.25065753058806095,0.06550908466670202,0.10106545153184607,NA,NA
unrestricted,Bora,0.08342857142856917,vln_mod_mono_baseline,nonfinal,0.8839691980546682,1.034613280427088,0.15064408237241977,0.07459083098647858,0.12618503080432592,NA,NA
unrestricted,Bora,0.08342857142856917,vln_mod_mono_baseline,final,0.8839691980546682,1.034613280427088,0.15064408237241977,0.07459083098647858,0.12618503080432592,NA,NA
unrestricted,Arapaho,0.08819999999999709,vln_mod_mono_baseline,nonfinal,0.8582501124201336,0.9867687214428766,0.12851860902274304,0.08981172572062511,0.14503628983464725,NA,NA
unrestricted,Arapaho,0.08819999999999709,vln_mod_mono_baseline,final,0.8582501124201336,0.9867687214428766,0.12851860902274304,0.08981172572062511,0.14503628983464725,NA,NA
restricted,Ruuli,0.0696545454545437,vln_mod_mono_baseline,nonfinal,1.2031590388041913,1.327855375483189,0.12469633667899771,0.06863276815785282,0.10880884821425256,NA,NA
unrestricted,Beja,0.07982608695652167,vln_mod_mono_baseline,nonfinal,1.0054581497067616,1.1242030156179972,0.11874486591123556,0.07619162952120774,0.12495125396595153,NA,NA
unrestricted,Beja,0.07982608695652167,vln_mod_mono_baseline,final,1.0054581497067616,1.1242030156179972,0.11874486591123556,0.07619162952120774,0.12495125396595153,NA,NA
restricted,Kamas,0.11083333333333864,vln_mod_mono_baseline,nonfinal,1.3694217389912389,1.4864848509292816,0.11706311193804275,0.10893751122468309,0.18394145791877395,NA,NA
unrestricted,Dolgan,0.07919444444444441,vln_mod_mono_baseline,nonfinal,1.040341078057505,1.151573733468858,0.11123265541135297,0.07360944319132315,0.12186216304097128,NA,NA
unrestricted,Dolgan,0.07919444444444441,vln_mod_mono_baseline,final,1.040341078057505,1.151573733468858,0.11123265541135297,0.07360944319132315,0.12186216304097128,NA,NA
unrestricted,Fanbyak,0.0784722222222223,vln_mod_mono_baseline,nonfinal,1.0756340400348563,1.1701598014877135,0.09452576145285718,0.0831205877518113,0.1307897674323892,NA,NA
unrestricted,Fanbyak,0.0784722222222223,vln_mod_mono_baseline,final,1.0756340400348563,1.1701598014877135,0.09452576145285718,0.0831205877518113,0.1307897674323892,NA,NA
unrestricted,Movima,0.07758620689654977,vln_mod_mono_baseline,nonfinal,1.114976328397077,1.2055908645840496,0.09061453618697257,0.07620739205859421,0.12315473044986314,NA,NA
unrestricted,Movima,0.07758620689654977,vln_mod_mono_baseline,final,1.114976328397077,1.2055908645840496,0.09061453618697257,0.07620739205859421,0.12315473044986314,NA,NA
unrestricted,Evenki,0.081155172413793,vln_mod_mono_baseline,nonfinal,1.0691043006509915,1.1581669387763505,0.08906263812535897,0.07206201302891321,0.1218782079273622,NA,NA
unrestricted,Evenki,0.081155172413793,vln_mod_mono_baseline,final,1.0691043006509915,1.1581669387763505,0.08906263812535897,0.07206201302891321,0.1218782079273622,NA,NA
unrestricted,Svan,0.07960784313725494,vln_mod_mono_baseline,nonfinal,1.0893540480800823,1.1687844565524408,0.0794304084723585,0.08862582144022513,0.13721065831681592,NA,NA
unrestricted,Svan,0.07960784313725494,vln_mod_mono_baseline,final,1.0893540480800823,1.1687844565524408,0.0794304084723585,0.08862582144022513,0.13721065831681592,NA,NA
unrestricted,Resigaro,0.09364285714285696,vln_mod_mono_baseline,nonfinal,1.0737269908092095,1.121334542095509,0.047607551286299454,0.08328892431447868,0.14256634242300453,NA,NA
unrestricted,Resigaro,0.09364285714285696,vln_mod_mono_baseline,final,1.0737269908092095,1.121334542095509,0.047607551286299454,0.08328892431447868,0.14256634242300453,NA,NA
restricted,Mojeno_Trinitario,0.0928888888888894,vln_mod_mono_baseline,nonfinal,1.340823988534634,1.2788664136214045,-0.06195757491322951,0.09140199676547268,0.1501142053178607,NA,NA
restricted,Kamas,0.11083333333333864,vln_mod_mono_baseline,final,NA,NA,NA,NA,NA,1.5191611523417414,0.1126852697199641
none,Yongning_Na,0.08989743589743518,vln_mod_mono_baseline,nonfinal,NA,NA,NA,NA,NA,1.2721985864927454,0.09562457297144206
none,Yongning_Na,0.08989743589743518,vln_mod_mono_baseline,final,NA,NA,NA,NA,NA,1.2721985864927454,0.09562457297144206
none,Urum,0.0753921568627451,vln_mod_mono_baseline,nonfinal,NA,NA,NA,NA,NA,1.2611451270307938,0.08403284366154778
none,Urum,0.0753921568627451,vln_mod_mono_baseline,final,NA,NA,NA,NA,NA,1.2611451270307938,0.08403284366154778
none,Dalabon,0.06889473684210363,vln_mod_mono_baseline,nonfinal,NA,NA,NA,NA,NA,1.173013911994314,0.07690359344350188
none,Dalabon,0.06889473684210363,vln_mod_mono_baseline,final,NA,NA,NA,NA,NA,1.173013911994314,0.07690359344350188
none,Yali,0.05786206896551715,vln_mod_mono_baseline,nonfinal,NA,NA,NA,NA,NA,1.169305653065944,0.062764428998116
none,Yali,0.05786206896551715,vln_mod_mono_baseline,final,NA,NA,NA,NA,NA,1.169305653065944,0.062764428998116
none,Lower_Sorbian,0.09714705882353045,vln_mod_mono_baseline,nonfinal,NA,NA,NA,NA,NA,1.1633517646654212,0.10684293954666833
none,Lower_Sorbian,0.09714705882353045,vln_mod_mono_baseline,final,NA,NA,NA,NA,NA,1.1633517646654212,0.10684293954666833
none,Sadu,0.09033333333333313,vln_mod_mono_baseline,nonfinal,NA,NA,NA,NA,NA,1.1274743819540411,0.1005337686822336
