phone_dur_uttr,phone_type_f,speakerSegtype,languageSegtype,segtype_o,language,language_f,speaker_f,dur,ul,ll,model
0.07774141988062319,vowel_mono_short_nonhigh,Edi.syllabic,Yali.syllabic,syllabic,Yali,Yali,Edi,0.08696621723175905,0.09102943308884094,0.08290300137467717,cv_mod_baseline
0.07908821166207408,vowel_mono_short_nonhigh,Edi.syllabic,Yali.syllabic,syllabic,Yali,Yali,Edi,0.08860101510359437,0.09271009826609639,0.08449193194109236,cv_mod_baseline
0.08043500344352497,vowel_mono_short_nonhigh,Edi.syllabic,Yali.syllabic,syllabic,Yali,Yali,Edi,0.09024687263131362,0.09440743446843004,0.0860863107941972,cv_mod_baseline
0.08178179522497586,vowel_mono_short_nonhigh,Edi.syllabic,Yali.syllabic,syllabic,Yali,Yali,Edi,0.09190582372028427,0.09612168337993769,0.08768996406063086,cv_mod_baseline
0.08312858700642674,vowel_mono_short_nonhigh,Edi.syllabic,Yali.syllabic,syllabic,Yali,Yali,Edi,0.0935791551278747,0.09785218446291316,0.08930612579283623,cv_mod_baseline
0.08447537878787761,vowel_mono_short_nonhigh,Edi.syllabic,Yali.syllabic,syllabic,Yali,Yali,Edi,0.095267282518635,0.09959790522602015,0.09093665981124986,cv_mod_baseline
0.0858221705693285,vowel_mono_short_nonhigh,Edi.syllabic,Yali.syllabic,syllabic,Yali,Yali,Edi,0.09696969999031668,0.10135783013831569,0.09258156984231768,cv_mod_baseline
0.0871689623507794,vowel_mono_short_nonhigh,Edi.syllabic,Yali.syllabic,syllabic,Yali,Yali,Edi,0.09868494436109546,0.10313109149821961,0.0942387972239713,cv_mod_baseline
0.08851575413223028,vowel_mono_short_nonhigh,Edi.syllabic,Yali.syllabic,syllabic,Yali,Yali,Edi,0.10041070752259743,0.1049167875401758,0.09590462750501905,cv_mod_baseline
0.08986254591368117,vowel_mono_short_nonhigh,Edi.syllabic,Yali.syllabic,syllabic,Yali,Yali,Edi,0.10214396519298942,0.10671363159827993,0.09757429878769891,cv_mod_baseline
0.09120933769513205,vowel_mono_short_nonhigh,Edi.syllabic,Yali.syllabic,syllabic,Yali,Yali,Edi,0.1038813060760292,0.10851977437150404,0.09924283778055437,cv_mod_baseline
0.09255612947658293,vowel_mono_short_nonhigh,Edi.syllabic,Yali.syllabic,syllabic,Yali,Yali,Edi,0.10561913195658021,0.11033248077781688,0.10090578313534354,cv_mod_baseline
0.09390292125803382,vowel_mono_short_nonhigh,Edi.syllabic,Yali.syllabic,syllabic,Yali,Yali,Edi,0.10735377828234625,0.11214794175218902,0.10255961481250349,cv_mod_baseline
0.095249713039484707,vowel_mono_short_nonhigh,Edi.syllabic,Yali.syllabic,syllabic,Yali,Yali,Edi,0.10908175889723823,0.11396164295595411,0.10420187483852235,cv_mod_baseline
0.0965965048209356,vowel_mono_short_nonhigh,Edi.syllabic,Yali.syllabic,syllabic,Yali,Yali,Edi,0.11079999954197127,0.1157690153975119,0.10583098368643064,cv_mod_baseline
0.09794329660238647,vowel_mono_short_nonhigh,Edi.syllabic,Yali.syllabic,syllabic,Yali,Yali,Edi,0.11250603871119595,0.11756616989447338,0.10744590752791852,cv_mod_baseline
0.09929008838383736,vowel_mono_short_nonhigh,Edi.syllabic,Yali.syllabic,syllabic,Yali,Yali,Edi,0.11419818110097237,0.11935050301543862,0.10904585918650611,cv_mod_baseline
0.10063688016528824,vowel_mono_short_nonhigh,Edi.syllabic,Yali.syllabic,syllabic,Yali,Yali,Edi,0.11587558108259155,0.12112098601837157,0.11063017614681153,cv_mod_baseline
0.10198367194673913,vowel_mono_short_nonhigh,Edi.syllabic,Yali.syllabic,syllabic,Yali,Yali,Edi,0.1175382951351209,0.12287820663040025,0.11219838363984155,cv_mod_baseline
0.10333046372819002,vowel_mono_short_nonhigh,Edi.syllabic,Yali.syllabic,syllabic,Yali,Yali,Edi,0.11918699632692573,0.1246237860160507,0.11375020663780075,cv_mod_baseline
0.10467725550964091,vowel_mono_short_nonhigh,Edi.syllabic,Yali.syllabic,syllabic,Yali,Yali,Edi,0.12082292910345835,0.12635984360233057,0.11528601460458612,cv_mod_baseline
0.10602404729109179,vowel_mono_short_nonhigh,Edi.syllabic,Yali.syllabic,syllabic,Yali,Yali,Edi,0.12244793596720668,0.12808850514849845,0.11680736678591493,cv_mod_baseline
0.10737083907254268,vowel_mono_short_nonhigh,Edi.syllabic,Yali.syllabic,syllabic,Yali,Yali,Edi,0.12406426895556297,0.1298114803221145,0.11831705758901141,cv_mod_baseline
0.10871763085399355,vowel_mono_short_nonhigh,Edi.syllabic,Yali.syllabic,syllabic,Yali,Yali,Edi,0.12567437033000034,0.1315299096151375,0.11981883104486317,cv_mod_baseline
0.11006442263544444,vowel_mono_short_nonhigh,Edi.syllabic,Yali.syllabic,syllabic,Yali,Yali,Edi,0.12728064531488048,0.1332444697134119,0.12131682091634907,cv_mod_baseline
0.11141121441689533,vowel_mono_short_nonhigh,Edi.syllabic,Yali.syllabic,syllabic,Yali,Yali,Edi,0.1288852447411299,0.13495563483439238,0.1228148546478674,cv_mod_baseline
0.11275800619834621,vowel_mono_short_nonhigh,Edi.syllabic,Yali.syllabic,syllabic,Yali,Yali,Edi,0.13048987438561818,0.13666394908701388,0.1243157996842225,cv_mod_baseline
0.1141047979797971,vowel_mono_short_nonhigh,Edi.syllabic,Yali.syllabic,syllabic,Yali,Yali,Edi,0.13209567055286245,0.1383702086621962,0.1258211324435287,cv_mod_baseline
0.11545158976124799,vowel_mono_short_nonhigh,Edi.syllabic,Yali.syllabic,syllabic,Yali,Yali,Edi,0.1337034690923834,0.1400758335334136,0.1273311046513532,cv_mod_baseline
0.11679838154269886,vowel_mono_short_nonhigh,Edi.syllabic,Yali.syllabic,syllabic,Yali,Yali,Edi,0.13531365921881,0.141782488941954,0.128844829495666,cv_mod_baseline
0.11814517332414975,vowel_mono_short_nonhigh,Edi.syllabic,Yali.syllabic,syllabic,Yali,Yali,Edi,0.13692593457396615,0.14349125985128003,0.13036060929665227,cv_mod_baseline
0.11949196510560064,vowel_mono_short_nonhigh,Edi.syllabic,Yali.syllabic,syllabic,Yali,Yali,Edi,0.1385393573453156,0.1452022586463314,0.13187645604429982,cv_mod_baseline
0.12083875688705152,vowel_mono_short_nonhigh,Edi.syllabic,Yali.syllabic,syllabic,Yali,Yali,Edi,0.1401524859831696,0.1469144189889222,0.13339055297741698,cv_mod_baseline
0.12218554866850241,vowel_mono_short_nonhigh,Edi.syllabic,Yali.syllabic,syllabic,Yali,Yali,Edi,0.14176354055265958,0.14862557581706845,0.1349015052882507,cv_mod_baseline
0.1235323404499533,vowel_mono_short_nonhigh,Edi.syllabic,Yali.syllabic,syllabic,Yali,Yali,Edi,0.14337059121616172,0.1503328426748621,0.13640833975746133,cv_mod_baseline
0.12487913223140418,vowel_mono_short_nonhigh,Edi.syllabic,Yali.syllabic,syllabic,Yali,Yali,Edi,0.14497175369950524,0.15203320108853213,0.13791030631047835,cv_mod_baseline
0.12622592401285507,vowel_mono_short_nonhigh,Edi.syllabic,Yali.syllabic,syllabic,Yali,Yali,Edi,0.14656537211416104,0.15372414959385688,0.1394065946344652,cv_mod_baseline
