language,phone_dur_uttr_med,phone_dur_uttr,density,model,derivative_c,derivative_v,delta_deriv,phone_dur_v,phone_dur_c,derivative_v_w,derivative_c_w,delta_deriv_w,phone_dur_v_w,phone_dur_c_w
Arapaho,0.08819999999999709,0.040031249999998,2.0809681324998486e-10,cv_mod_baseline,0.8668111441911819,1.0542281040359924,0.18741695984481055,0.04586443948680862,0.03710992531248347,2.1938150888846354e-10,1.8038063679575807e-10,3.9000872092705453e-11,9.544243698701645e-12,7.72245719747276e-12
Arapaho,0.08819999999999709,0.041378041781449,4.773034030052394e-8,cv_mod_baseline,0.8630474420923129,1.0588044208543756,0.19575697876206277,0.047495642222327064,0.03818793073571546,5.053709531907852e-8,4.1193548106562826e-8,9.343547212515695e-9,2.266983166063604e-9,1.8227229293885366e-9
Arapaho,0.08819999999999709,0.0427248335629,3.7601472857444332e-6,cv_mod_baseline,0.8541065001703707,1.0675967544804266,0.21349025431005586,0.049140473766360535,0.03925313315393028,4.014321038629142e-6,3.2115662383522967e-6,8.027548002768453e-7,1.8477541905277608e-7,1.4759756208571576e-7
Arapaho,0.08819999999999709,0.044071625344351,1.1460245388107525e-4,cv_mod_baseline,0.8471452059199969,1.0744767652091092,0.2273315592891123,0.0508012490408543,0.04030335730239075,1.2313767393116386e-4,9.708491939202044e-5,2.6052754539143416e-5,5.821947800305523e-6,4.618863646499733e-6
Arapaho,0.08819999999999709,0.045418417125802,0.0012524683076049568,cv_mod_baseline,0.8429287918065853,1.078856148211127,0.23592735640454165,0.052474794120377186,0.04134158526162454,0.0013512331340991925,0.0010557415973054848,2.9549153679370773e-4,6.572301658386734e-5,5.1779025326332916e-5
Arapaho,0.08819999999999709,0.046765208907253,0.00491851041154954,cv_mod_baseline,0.8419966647839061,1.0803595921795583,0.23836292739565224,0.05415699061836689,0.04237168216360422,0.005313759902352573,0.004141369362229631,0.0011723905401229426,2.663717222146283e-4,2.0840555987655532e-4
Arapaho,0.08819999999999709,0.048112000688704,0.0071339706517553735,cv_mod_baseline,0.8446132579869037,1.0788531895333797,0.23423993154647604,0.055843125072723994,0.043398070586471785,0.0076965069916838085,0.00602544619456206,0.0016710607971217478,3.983832153711176e-4,3.096005619066978e-4
Arapaho,0.08819999999999709,0.049458792470155,0.0038067874855378632,cv_mod_baseline,0.8507396614469975,1.0744529979347384,0.22371333648774083,0.05752828984687972,0.04442535685290222,0.004090214226336601,0.0032385850966471486,8.516291296894529e-4,2.1899797385349664e-4,1.6911789250818193e-4
Arapaho,0.08819999999999709,0.050805584251605,7.48526330926183e-4,cv_mod_baseline,0.8600298791257011,1.0675140189695398,0.20748413984383873,0.059207802362525166,0.04545794023432443,7.990623518315333e-4,6.437550099088497e-4,1.5530734192268364e-4,4.431859906462355e-5,3.4026465215060576e-5
Arapaho,0.08819999999999709,0.052152376033056,1.2376634439457848e-4,cv_mod_baseline,0.8718884457636911,1.0585722906424344,0.18668384487874334,0.06087760800065266,0.04649963744259199,1.3101562269020938e-4,1.0791044565204275e-4,2.3105177038166614e-5,7.534598997726923e-6,5.755090141942876e-6
Arapaho,0.08819999999999709,0.053499167814507,0.0010252025625407343,cv_mod_baseline,0.8856578967675333,1.048224691055033,0.16256679428749976,0.06253464367152006,0.047553353493430504,0.0010746426393880894,9.079787453005122e-4,1.6666389408757717e-4,6.411067693961409e-5,4.875181985887033e-5
Arapaho,0.08819999999999709,0.054845959595958,0.006071373103476933,cv_mod_baseline,0.9000612482061854,1.037720809164533,0.13765956095834753,0.06417731829501797,0.0486208260908135,0.006300390209679865,0.00546460765384091,8.357825558389545e-4,3.896444441496502e-4,2.951951757965946e-4
Arapaho,0.08819999999999709,0.056192751377409,0.016829088233088155,cv_mod_baseline,0.9139077143651697,1.0280358440311055,0.11412812966593577,0.06580566225000181,0.049702476750162365,0.017300905925976728,0.01538023356195137,0.001920672364025359,0.001107449296242079,8.364473666314951e-4
Arapaho,0.08819999999999709,0.05753954315886,0.03137276575363134,cv_mod_baseline,0.9260309761187635,1.020082828935731,0.0940518528169676,0.06742123018160161,0.0507973184370966,0.032002819641502284,0.029052152894380547,0.0029506667471217362,0.002115190461309047,0.0015936523722396502
Arapaho,0.08819999999999709,0.058886334940311,0.05387969756229085,cv_mod_baseline,0.935314116817132,1.0147329219356571,0.07941880511852517,0.06902698559301276,0.05190305600464965,0.054673502940392894,0.05039444173984824,0.004279061200544653,0.0037191531073881355,0.0027965209600891673
Arapaho,0.08819999999999709,0.060233126721762,0.06385170602028911,cv_mod_baseline,0.9410692886322458,1.0125127788152,0.07144349018295415,0.07062713520935875,0.05301624148556436,0.06465066829469417,0.060088879562468764,0.0045617887322254,0.004509663074443185,0.003385177465636911
Arapaho,0.08819999999999709,0.061579918503213,0.057139554050390735,cv_mod_baseline,0.9428396961665975,1.0137680292423568,0.0709283330757593,0.07222684928332765,0.054132535482517875,0.05792625310145174,0.053873439779965275,0.004052813321486466,0.004127009958514126,0.0030931089370880246
Arapaho,0.08819999999999709,0.062926710284663,0.06476398530969858,cv_mod_baseline,0.9403950113924253,1.0186644496266162,0.07826943823419086,0.07383190417153654,0.0552470407805108,0.06597276945113036,0.06090372870313286,0.005069040747997498,0.004781648357152466,0.00357801853751332
Arapaho,0.08819999999999709,0.064273502066114,0.08759538649078581,cv_mod_baseline,0.9338190495569165,1.0271132963382001,0.09329424678128362,0.0754482764247217,0.05635468078959624,0.08997038616256967,0.08179824055839638,0.008172145604173288,0.006608920933487141,0.004936410044329545
Arapaho,0.08819999999999709,0.065620293847565,0.15118648061697448,cv_mod_baseline,0.923500465599858,1.0387037625654294,0.11520329696557141,0.07708170120577977,0.05745059179513516,0.15703796626587677,0.13962078524217983,0.017417181023696916,0.011653711125271042,0.008685752782868915
Arapaho,0.08819999999999709,0.066967085629016,0.259869179294012,cv_mod_baseline,0.9098740463433508,1.0526836788593563,0.14280963251600554,0.07873689052225624,0.05853049698356396,0.2735600436813822,0.2364482216841684,0.03711182199721381,0.0204612911201812,0.01521027221478941
Arapaho,0.08819999999999709,0.068313877410467,0.3034791395361193,cv_mod_baseline,0.8939096091169496,1.068193677771223,0.17428406865427348,0.08041721706301215,0.05959103161921675,0.3241744981879335,0.27128291899788065,0.05289157919005286,0.02440494783817226,0.018084634999869578
Arapaho,0.08819999999999709,0.069660669191918,0.29624236566682777,cv_mod_baseline,0.8767775127260791,1.0842713107823698,0.20749379805629076,0.08212479545763854,0.06062999300973533,0.3212070981308415,0.25973864453345086,0.0614684535973906,0.024328843686275192,0.017961172559567227
Arapaho,0.08819999999999709,0.071007460973369,0.32512550601508944,cv_mod_baseline,0.8596464412473637,1.0999666874518255,0.2403202462044618,0.08386034820468787,0.06164647555854525,0.3576272258575165,0.27949298420462,0.07813424165289652,0.02726513814465074,0.020042841560018867
Arapaho,0.08819999999999709,0.07235425275482,0.38327475433187175,cv_mod_baseline,0.8436662206063872,1.1143624604441627,0.27069623983777547,0.08562308280723258,0.06264098050098099,0.4271069982633966,0.32335596344101175,0.10375103482238482,0.032817166028079575,0.024008706412621057
Arapaho,0.08819999999999709,0.073701044536271,0.43583339384158376,cv_mod_baseline,0.8298780915332316,1.1266497562836264,0.29677166475039485,0.08741082378144588,0.06361529027375792,0.4910315869518861,0.3616885851077048,0.1293430018441813,0.03809655598715618,0.02772566786022941
Arapaho,0.08819999999999709,0.075047836317721,0.52145445010996,cv_mod_baseline,0.8193050533344959,1.1360527365322781,0.31674768319778224,0.08922016763889878,0.06457231975658517,0.5923997550243544,0.42723026605885106,0.16516948896550337,0.04652425345486042,0.03367152349099463
Arapaho,0.08819999999999709,0.076394628099172,0.5665213311013835,cv_mod_baseline,0.8122618820114447,1.14238135407696,0.3301194720655154,0.09104675545737616,0.06551585837482224,0.6471834053370803,0.46016368260003854,0.18701972273704176,0.051579929094174894,0.037116131294754016
Arapaho,0.08819999999999709,0.077741419880623,0.5871552556109336,cv_mod_baseline,0.8090265993736523,1.145478223908647,0.33645162453499466,0.0928856181526409,0.06645024462964468,0.6725735593558398,0.47502421975128123,0.19754933960455867,0.05453827886899344,0.03901661037092809
Arapaho,0.08819999999999709,0.079088211662074,0.6663662872514299,cv_mod_baseline,0.8095783192665351,1.145416831282997,0.335838512016462,0.0947315615167499,0.06738000112084641,0.7632671612173483,0.5394756988488938,0.22379146236845449,0.06312591893344706,0.044899761181895606
Arapaho,0.08819999999999709,0.080435003443525,0.7163310471820459,cv_mod_baseline,0.8136052813103589,1.1424921654232811,0.3288868841129222,0.09657956608983051,0.06830946037690977,0.8184026092549421,0.5828107231538924,0.23559188610104975,0.0691829417135159,0.048932187284232244
Arapaho,0.08819999999999709,0.081781795224976,0.7799676569291025,cv_mod_baseline,0.8205747166658561,1.1371535682838108,0.3165788516179546,0.09842516669268221,0.06924241331938823,0.8869430042228921,0.64002173909313,0.2469212651297621,0.07676844664814769,0.05400684287683972
Arapaho,0.08819999999999709,0.083128587006427,0.8875890959273923,cv_mod_baseline,0.8296161552245884,1.1300802021620981,0.3004640469375097,0.10026477352578207,0.07018181065670506,1.0030468649625015,0.7363582531825517,0.26668861177994985,0.08899391968711365,0.062292609871332276
Arapaho,0.08819999999999709,0.084475378787878,0.9558413298536985,cv_mod_baseline,0.8397030201638955,1.1220524593253955,0.2823494391615,0.10209591106708543,0.07112954219711631,1.072504114887199,0.802622851475625,0.2698812634115741,0.09758749140698787,0.06798855620557642
Arapaho,0.08819999999999709,0.085822170569328,1,cv_mod_baseline,0.8497483752822887,1.1138770146219557,0.2641286393396669,0.1039173467000624,0.07208632049128713,1.1138770146219557,0.8497483752822887,0.2641286393396669,0.1039173467000624,0.07208632049128713
Arapaho,0.08819999999999709,0.087168962350779,0.9842548608225806,cv_mod_baseline,0.8587056157156603,1.106316278236097,0.24761066252043662,0.1057291410765973,0.07305163793062586,1.088897174461025,0.8451851762837856,0.24371199817723932,0.10406442103523726,0.0719014297242697
Arapaho,0.08819999999999709,0.08851575413223,0.9413681878849534,cv_mod_baseline,0.8656657131762557,1.1000220425509966,0.23435632937474082,0.10753252857970504,0.07402388495312373,1.0355257568297367,0.8149101637268676,0.22061559310286905,0.10122770156776388,0.06968373043852635
Arapaho,0.08819999999999709,0.089862545913681,0.9610247060532828,cv_mod_baseline,0.8699371400173739,1.0955114326423043,0.22557429262493045,0.10932973378654737,0.07500053570009588,1.0528135525330813,0.8360310842700303,0.216782468263051,0.10506857527510034,0.07207736777502338
Arapaho,0.08819999999999709,0.091209337695132,0.908923879819629,cv_mod_baseline,0.8711656086632935,1.0931592217886532,0.2219936131253597,0.1111238249239378,0.07597842580657142,0.9935985211287489,0.79182322499166935,0.20177529613707965,0.10100309809026273,0.06905860556669673
Arapaho,0.08819999999999709,0.092556129476583,0.8331879871733597,cv_mod_baseline,0.8693123336493969,1.0929911342083543,0.2236788005589574,0.11291833436444476,0.07695409145336923,0.9106670831093862,0.7243005934983171,0.18636648961106908,0.09408219972408015,0.06411722456278736
Arapaho,0.08819999999999709,0.093902921258034,0.8406217773426019,cv_mod_baseline,0.8646256021904719,1.0948126875685027,0.2301870853780308,0.11471674288375493,0.07792414083432342,0.9203233872810654,0.726823110449272,0.1935002768317935,0.09643339229389634,0.06550472976604417
Arapaho,0.08819999999999709,0.095249713039485,0.7924856483113787,cv_mod_baseline,0.8575469846068273,1.0982906001615333,0.24074361555470603,0.1165220832895641,0.07888562618597178,0.8703795383033059,0.6795936780536095,0.19078586024969652,0.09234207871832266,0.06251572661043892
Arapaho,0.08819999999999709,0.096596504820936,0.6755267324762839,cv_mod_baseline,0.848975310342226,1.1027771855340873,0.25380187519186137,0.11833658052888302,0.07983638445040436,0.7449554687932347,0.573505517348523,0.17144995144471173,0.07993952357709298,0.05393161192050206
Arapaho,0.08819999999999709,0.097943296602386,0.5629551541403145,cv_mod_baseline,0.8399931581868358,1.1075012183749955,0.26750806018815965,0.12016135562271707,0.08077531694956691,0.6234735191008817,0.47287847784387976,0.15059504125700193,0.06764545447629583,0.0454728810040762
Arapaho,0.08819999999999709,0.099290088383837,0.49456649943855435,cv_mod_baseline,0.8317956891428224,1.1116237920667515,0.2798281029239291,0.12199621971137159,0.08170258329344926,0.5497718875350648,0.4113782822274456,0.13839360530761913,0.06033524332738981,0.04040736061452811
Arapaho,0.08819999999999709,0.100636880165288,0.4283157996486052,cv_mod_baseline,0.8256054056543505,1.1143018173105368,0.2886964116561863,0.12383958384093785,0.08261968501159325,0.47727307393125656,0.3536198395170542,0.12365323441420235,0.053042450380981786,0.03538731645245645
Arapaho,0.08819999999999709,0.101983671946739,0.3878063524970482,cv_mod_baseline,0.8225692388901251,1.1147176027570538,0.29214836386692866,0.12568843974682672,0.08352946989591659,0.43229456758946655,0.3189975762102525,0.11329699137921403,0.04874277536926189,0.032393259046347406
Arapaho,0.08819999999999709,0.10333046372819,0.4267735552013843,cv_mod_baseline,0.8236586275471858,1.1120431790812013,0.28838455153401554,0.12753832015968591,0.0844359641352107,0.47459062107393396,0.35151572075060533,0.12307490032332864,0.054429982318961546,0.03603503660084045
Arapaho,0.08819999999999709,0.104677255509641,0.4525755990607694,cv_mod_baseline,0.829581205537,1.1058160569756836,0.27623485143868365,0.1293835824596622,0.08534414250971036,0.5004653644367879,0.375448211065463,0.12501715337132488,0.05855585234031007,0.03862467642265984
Arapaho,0.08819999999999709,0.106024047291092,0.39547904591712674,cv_mod_baseline,0.8406261249072067,1.0958892281727195,0.2552631032655128,0.1312179304225339,0.08625960208632033,0.4334012263886035,0.3324500178513135,0.10095120853729,0.05189394193072363,0.03411386513428896
Arapaho,0.08819999999999709,0.107370839072543,0.3173581430804573,cv_mod_baseline,0.8567405438553166,1.082342900769806,0.22560235691448938,0.13303482624796512,0.08718817463977996,0.3434903331646213,0.27189358809966435,0.07159674506495692,0.04221968542308549,0.027669877202255187
Arapaho,0.08819999999999709,0.108717630853994,0.23781247966011862,cv_mod_baseline,0.8776822027560804,1.0653738187054174,0.18769161594933692,0.13482792962772094,0.08813550818206167,0.253359189591305,0.2087237809909785,0.044635408600326484,0.03206376427220829,0.020959723746880758
Arapaho,0.08819999999999709,0.110064422635444,0.15765639962307942,cv_mod_baseline,0.9027852731922081,1.0454518297611237,0.14266655656891558,0.13659153437014765,0.08910665056566722,0.16482217145949932,0.1423298758042217,0.022492295655277623,0.021534529527789587,0.014048233710654928
Arapaho,0.08819999999999709,0.111411214416895,0.12452278518842073,cv_mod_baseline,0.930832076071475,1.0234029547184775,0.09257087864700253,0.13832096768495716,0.09010566820223302,0.12743698629160405,0.11590980265513999,0.01152718363646406,0.01722411214608841,0.011220208765805775
Arapaho,0.08819999999999709,0.112758006198346,0.12501982552436405,cv_mod_baseline,0.960465078944317,1.000128994826266,0.03966391588194895,0.14001292000442137,0.09113533034045831,0.12503595243503737,0.12007717659186305,0.00495877584317431,0.0175043908301095,0.01139372309826938
Arapaho,0.08819999999999709,0.114104797979797,0.1166063386173792,cv_mod_baseline,0.9901761394823794,0.9766977599845461,-0.01347837949783326,0.1416657037553736,0.09219688427187414,0.11388914972759373,0.11546081421133161,-0.0015716644837378863,0.01651911902256842,0.010750741106873478
Arapaho,0.08819999999999709,0.115451589761248,0.106056055637743,cv_mod_baseline,1.0184213397765873,0.954436898325417,-0.06398444145117033,0.14327970345885072,0.09328996606449862,0.10122381279151528,0.10800975027401051,-0.006785937482495229,0.01519568020179119,0.00989396583137962
Arapaho,0.08819999999999709,0.116798381542699,0.10183641144073016,cv_mod_baseline,1.0437393748916612,0.9343391683553914,-0.1094002065362698,0.14485737344746175,0.09441251820375385,0.09514974797382929,0.10629067241835771,-0.01114092444452843,0.014751755082619215,0.009614632048952904
Arapaho,0.08819999999999709,0.11814517332415,0.09237918575822279,cv_mod_baseline,1.0648621625253263,0.9172427920061121,-0.14761937051921414,0.1464027208298931,0.09556100042590931,0.08473414226812355,0.09837109951882994,-0.0136369572507064,0.01352456414305393,0.008827847409586684
Arapaho,0.08819999999999709,0.119491965105601,0.07349912517802726,cv_mod_baseline,1.080808461315641,0.9038060670387704,-0.1770023942768706,0.14792107881558664,0.09673059371435455,0.06642895525794308,0.07943847639170933,-0.013009521133766248,0.010872069888335638,0.007109614015956242
Arapaho,0.08819999999999709,0.120838756887052,0.057700330953497726,cv_mod_baseline,1.0909509285359498,0.8944604378589016,-0.19649049067704816,0.14941876181935088,0.09791552482002915,0.05161066328926911,0.06294822963054995,-0.011337566341280839,0.008621512007638396,0.005649758187601103
Arapaho,0.08819999999999709,0.122185548668502,0.04305980674859059,cv_mod_baseline,1.095040383765955,0.8893875845381594,-0.20565279922779567,0.15090265096042865,0.09910945761387419,0.03829685751480892,0.047152227306864504,-0.008855369792055583,0.006497838988206077,0.004267634091811053
Arapaho,0.08819999999999709,0.123532340449953,0.03137408988821887,cv_mod_baseline,1.0933339891288085,0.888431807491763,-0.20490218163704554,0.15237974213782954,0.10030592099214661,0.027873739387799332,0.03430235885277215,-0.006428619464972816,0.004780775726975876,0.0031470069815281877
Arapaho,0.08819999999999709,0.124879132231404,0.023335572388873925,cv_mod_baseline,1.0863019397917562,0.891282152222006,-0.19501978756975014,0.15385669170560304,0.10149874032092207,0.02079857918208797,0.02534947755218469,-0.004550898370096719,0.0035903339668087583,0.002368531202138394
