language,phone_dur_uttr_med,model.x,density_area,derivative_v_w_area,derivative_c_w_area,delta_deriv_w_area,phone_dur_v_w_area,phone_dur_c_w_area,eff_size_dw,derivative_v_dw,derivative_c_dw,phone_dur_v_dw,phone_dur_c_dw,phone_dur_uttr,model.y,derivative_c,derivative_v,eff_size_med,phone_dur_v,phone_dur_c
Kamas,0.11083333333333864,cv_mod_baseline,18.372955526608838,23.201978978090843,13.90716819740167,9.29481078068917,2.139765157096973,1.9795995873269716,0.5058963304639723,1.2628332411999974,0.756936910736025,0.11646276256414131,0.10774529903259138,0.11083333333333864,cv_mod_baseline,0.7098427015685971,1.3246710466994216,0.6148283451308245,0.1151579920290208,0.10727511573017777
Yongning_Na,0.08989743589743518,cv_mod_baseline,18.10612266857695,21.890550188619894,14.433544272612341,7.457005916007551,1.7557850046490142,1.5634869153441924,0.4118499610603618,1.2090136905241888,0.797163729463827,0.09697189380563331,0.08635128259998,0.08989743589743518,cv_mod_baseline,0.7802928187889968,1.2322168964358227,0.45192407764682585,0.09693830768423638,0.08635228478956217
Ruuli,0.0696545454545437,cv_mod_baseline,21.223662385867442,25.101366206874903,16.42833689243521,8.673029314439688,1.7157549508678138,1.2929992372879004,0.4086490425994971,1.182706629539564,0.7740575869400665,0.08084160592425897,0.06092253136051069,0.0696545454545437,cv_mod_baseline,0.7606656873218043,1.1945911996815717,0.4339255123597674,0.07909315868862275,0.06063998766396156
Mojeno_Trinitario,0.0928888888888894,cv_mod_baseline,22.845466716577487,27.506492067215092,18.31637403331941,9.190118033895672,2.191921638935139,2.054639146378612,0.4022731576425617,1.2040240809462386,0.8017509233036764,0.09594558369624387,0.08993640497121874,0.0928888888888894,cv_mod_baseline,0.7474161836960036,1.2512007194942498,0.5037845357982462,0.0958402962132456,0.09030908919640093
Urum,0.0753921568627451,cv_mod_baseline,18.304909883589353,21.78123575706585,14.591681247394012,7.189554509671838,1.5845321094153721,1.2624874721946473,0.39276645202811894,1.1899122091058794,0.7971457570777604,0.08656322918234799,0.06896988186358063,0.0753921568627451,cv_mod_baseline,0.7510002774115954,1.2402300102345443,0.4892297328229489,0.08426872082804955,0.06852334560622693
Movima,0.07758620689654977,cv_mod_baseline,18.28329630061,21.85476035312303,15.373589150615327,6.481171202507692,1.49485836508112,1.399398918500637,0.35448592507312016,1.1953402709113166,0.8408543458381957,0.0817608783724216,0.0765397494790886,0.07758620689654977,cv_mod_baseline,0.8336246880622511,1.2080726217091886,0.3744479336469375,0.08019759563597885,0.07563383543254545
Evenki,0.081155172413793,cv_mod_baseline,18.972487804113,22.484544200614067,16.280967866920278,6.2035763336937775,1.5360250535968047,1.569735561591667,0.32697748433122825,1.1851131192051523,0.8581356348739233,0.08096065573771583,0.08273746583994998,0.081155172413793,cv_mod_baseline,0.8533846756386687,1.1912076237190483,0.3378229480803796,0.07994692246096406,0.08218350050201953
Dalabon,0.06889473684210363,cv_mod_baseline,14.802305142076902,17.05420101986042,12.533926167365674,4.5202748524947625,1.187643084814405,0.9548020880052843,0.30537641327535325,1.15213143197422,0.8467550186988678,0.08023365775904871,0.06450360797462365,0.06889473684210363,cv_mod_baseline,0.8565341802788673,1.159896199969701,0.30336201969083376,0.0776996776872211,0.06354360546523079
Beja,0.07982608695652167,cv_mod_baseline,21.728334860758338,24.353965703312305,17.778180683655314,6.57578501965698,2.0901146129178154,1.4840032642744692,0.3026363990520477,1.1208390269838804,0.8182026279318323,0.09619304131273264,0.06829806673104062,0.07982608695652167,cv_mod_baseline,0.7787169580457665,1.1445805021796929,0.3658635441339264,0.09582155178583182,0.06756011518411288
Jejuan,0.07049152542372868,cv_mod_baseline,18.475442953849292,21.19451644674866,15.848909524016632,5.345606922732026,1.4029114762116381,1.2760690515166209,0.28933579216937194,1.1471723032401158,0.8578365110707437,0.07593384795785622,0.06906838741047648,0.07049152542372868,cv_mod_baseline,0.8772967658110531,1.1320080645531583,0.2547112987421052,0.07351850868215437,0.06781942574270311
