phone_dur_uttr,vht,syll_pos,speaker,language,vlcLn,vlcLn_o,vht_o,syll_pos_o,language_f,speaker_f,dur,ul,ll,model
0.0763946280991723,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.0814207001889813,0.0847027982816659,0.07813860209629671,vln_mod_mono_baseline
0.07774141988062319,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.0828545545269774,0.08612101615442982,0.07958809289952498,vln_mod_mono_baseline
0.07908821166207408,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.0842883945418432,0.08754083001623796,0.08103595906744844,vln_mod_mono_baseline
0.08043500344352497,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.0857222206455322,0.08896226128046257,0.08248218001060183,vln_mod_mono_baseline
0.08178179522497586,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.08715603327779262,0.09038532935921492,0.08392673719637031,vln_mod_mono_baseline
0.08312858700642674,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.0885898328783726,0.09181005124118392,0.08536961451556128,vln_mod_mono_baseline
0.08447537878787761,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.09002361988702041,0.09323644122452487,0.08681079854951596,vln_mod_mono_baseline
0.0858221705693285,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.09145739474348424,0.0946645107631242,0.08825027872384429,vln_mod_mono_baseline
0.0871689623507794,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.09289115788751225,0.09609426843058508,0.08968804734443941,vln_mod_mono_baseline
0.08851575413223028,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.09432490975885266,0.09752572000457513,0.09112409951313019,vln_mod_mono_baseline
0.08986254591368117,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.09575865081571766,0.09895886873038078,0.09255843290105455,vln_mod_mono_baseline
0.09120933769513205,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.0971923818354391,0.1003937165290955,0.0939910471417827,vln_mod_mono_baseline
0.09255612947658293,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.09862610386494738,0.10183026379767944,0.09542194393221533,vln_mod_mono_baseline
0.09390292125803382,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.10005981795964436,0.10326850829541688,0.09685112762387184,vln_mod_mono_baseline
0.095249713039484707,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.10149352517493183,0.10470844490877065,0.09827860544109301,vln_mod_mono_baseline
0.0965965048209356,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.10292722656621167,0.10615006556473944,0.0997043875676839,vln_mod_mono_baseline
0.09794329660238647,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.10436092318888565,0.10759335926554163,0.10112848711222967,vln_mod_mono_baseline
0.09929008838383736,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.10579461609835568,0.10903831224233076,0.10255091995438059,vln_mod_mono_baseline
0.10063688016528824,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.10722830635002352,0.11048490822388761,0.10397170447615943,vln_mod_mono_baseline
0.10198367194673913,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.10866199496894584,0.11193312882248874,0.10539086111540294,vln_mod_mono_baseline
0.10333046372819002,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.11009568248726685,0.11338295406301506,0.10680841091151864,vln_mod_mono_baseline
0.10467725550964091,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.11152936903677525,0.11483436242772856,0.10822437564582195,vln_mod_mono_baseline
0.10602404729109179,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.11296305473767723,0.11628733059866399,0.10963877887669048,vln_mod_mono_baseline
0.10737083907254268,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.11439673971017898,0.1177418333852705,0.11105164603508746,vln_mod_mono_baseline
0.10871763085399355,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.11583042407448667,0.11919784376207249,0.11246300438690085,vln_mod_mono_baseline
0.11006442263544444,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.11726410795080651,0.12065533300800603,0.11387288289360699,vln_mod_mono_baseline
0.11141121441689533,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.11869779145934467,0.12211427094131294,0.1152813119773764,vln_mod_mono_baseline
0.11275800619834621,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.1201314747203073,0.12357462624306675,0.11668832319754785,vln_mod_mono_baseline
0.1141047979797971,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.1215651578394923,0.1250363668859074,0.11809394879307718,vln_mod_mono_baseline
0.11545158976124799,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.122998840702422,0.12649946088500974,0.11949822051983425,vln_mod_mono_baseline
0.11679838154269886,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.12443252302262231,0.12796387627624364,0.12090116976900099,vln_mod_mono_baseline
0.11814517332414975,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.1258662045090524,0.12942958068408966,0.12230282833401511,vln_mod_mono_baseline
0.11949196510560064,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.1272998848706713,0.13089654123777125,0.12370322850357132,vln_mod_mono_baseline
0.12083875688705152,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.1287335638164381,0.13236472458285398,0.12510240305002224,vln_mod_mono_baseline
0.12218554866850241,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.1301672410553119,0.13383409697482387,0.12650038513579995,vln_mod_mono_baseline
0.1235323404499533,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.1316009162962518,0.1353046244487046,0.127897208143799,vln_mod_mono_baseline
0.12487913223140418,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.13303458924821684,0.13677627305856924,0.12929290543786445,vln_mod_mono_baseline
0.12622592401285507,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.13446825962231918,0.13824900922756922,0.13068751001706913,vln_mod_mono_baseline
0.12757271579430596,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.13590192716069163,0.1397228006889304,0.13208105363245287,vln_mod_mono_baseline
0.12891950757575682,nonhigh,nonfinal,Edi,Yali,no_contrast,no_contrast,nonhigh,nonfinal,Yali,Edi,0.13733559162875014,0.14119761636667466,0.13347356689082562,vln_mod_mono_baseline
