language,syll_pos,eff_size_dw,derivative_cs_dw,derivative_cl_dw,derivative_nc_dw,phone_dur_cl_dw,phone_dur_cs_dw,phone_dur_nc_dw,vowel_length_contrast,phone_dur_uttr,model,derivative_cs,derivative_cl,eff_size_med,phone_dur_cs,phone_dur_cl,derivative_nc,phone_dur_nc
Gubeeher,nonfinal,0.22631749889614727,1.0133517714479923,1.2396692703441399,NA,0.10356207854814747,0.06703812726884838,NA,unrestricted,0.06458333333333262,vln_mod_mono_full,1.13649914969427,1.3498590054803472,0.2133598557860772,0.06212924923765781,0.09789003165761392,NA,NA
Gubeeher,final,0.22631749889614727,1.0133517714479923,1.2396692703441399,NA,0.10356207854814747,0.06703812726884838,NA,unrestricted,0.06458333333333262,vln_mod_mono_full,0.8535654835233331,1.1533808997636896,0.29981541624035657,0.06764861892500663,0.10340940134496275,NA,NA
Bora,nonfinal,0.22096331542407777,0.9016178067894254,1.1225811222135025,NA,0.12400557915775888,0.07303423099860137,NA,unrestricted,0.08342857142856917,vln_mod_mono_full,0.8690943618709923,1.01809011079812,0.14899574892712764,0.07215188744305526,0.12405643831017182,NA,NA
Bora,final,0.22096331542407777,0.9016178067894254,1.1225811222135025,NA,0.12400557915775888,0.07303423099860137,NA,unrestricted,0.08342857142856917,vln_mod_mono_full,1.0116328075122638,1.0980754730880449,0.08644266557578106,0.0763363533488816,0.12824090421599818,NA,NA
Resigaro,nonfinal,0.19421051945591045,0.9408505711462156,1.1350610906021263,NA,0.14391846075986808,0.08294062236102707,NA,unrestricted,0.09364285714285696,vln_mod_mono_full,0.8993971642916598,1.0384415645090517,0.13904440021739184,0.07934564867881755,0.13893595682690016,NA,NA
Resigaro,final,0.19421051945591045,0.9408505711462156,1.1350610906021263,NA,0.14391846075986808,0.08294062236102707,NA,unrestricted,0.09364285714285696,vln_mod_mono_full,1.0064709398811544,1.0956603152920685,0.0891893754109141,0.08546852986234715,0.14505883801042976,NA,NA
Arapaho,nonfinal,0.19082621833897964,0.8434992762897107,1.03432549462869,NA,0.1456334749193313,0.0896935266018331,NA,unrestricted,0.08819999999999709,vln_mod_mono_full,0.7746636219474468,0.9333345006465876,0.15867087869914087,0.08747586428619207,0.14296616152018832,NA,NA
Arapaho,final,0.19082621833897964,0.8434992762897107,1.03432549462869,NA,0.1456334749193313,0.0896935266018331,NA,unrestricted,0.08819999999999709,vln_mod_mono_full,0.9261940046125794,1.0225965381218671,0.09640253350928774,0.09259812892547187,0.14808842615946813,NA,NA
Beja,nonfinal,0.16858201360772734,0.9643045238075527,1.1328865374152808,NA,0.12582063387919343,0.07652811892256725,NA,unrestricted,0.07982608695652167,vln_mod_mono_full,1.0335700821633154,1.1344458126916201,0.10087573052830479,0.07346032477343875,0.12257141590599827,NA,NA
Beja,final,0.16858201360772734,0.9643045238075527,1.1328865374152808,NA,0.12582063387919343,0.07652811892256725,NA,unrestricted,0.07982608695652167,vln_mod_mono_full,1.078996748589578,1.159254742647331,0.08025799405775302,0.07715079633570963,0.12626188746826916,NA,NA
